,split
15175,train
15176,train
15177,train
15178,train
15179,test
15180,test
15181,train
15182,train
15183,test
15184,test
15185,train
15186,train
15187,train
15188,train
15189,test
15190,train
15191,test
15192,train
15193,train
15194,train
15195,train
15196,train
15197,test
15198,train
15199,train
15200,train
15201,train
15202,train
15203,train
15204,train
15205,test
15206,test
15207,test
15208,test
15209,train
15210,train
15211,test
15212,train
15213,train
15214,train
15215,test
15216,test
15217,train
15218,train
15219,train
15220,train
15221,train
15222,train
15223,train
15224,test
15225,train
15226,train
15227,train
15228,train
15229,test
15230,test
15231,test
15232,train
15233,train
15234,test
15235,train
15236,train
15237,train
15238,train
15239,train
15240,train
15241,train
15242,test
15243,train
15244,train
15245,train
15246,test
15247,train
15248,train
15249,train
15250,test
15251,train
15252,train
15253,train
15254,train
15255,train
15256,train
15257,train
15258,train
15259,train
15260,test
15261,train
15262,test
15263,train
15264,train
15265,train
15266,test
15267,test
15268,train
15269,train
15270,train
15271,train
15272,train
15273,train
15274,train
15275,test
15276,train
15277,train
15278,test
15279,test
15280,test
15281,test
15282,train
15283,test
15284,test
15285,train
15286,train
15287,test
15288,train
15289,train
15290,train
15291,test
15292,train
15293,train
15294,train
15295,train
15296,test
15297,train
15298,train
15299,train
15300,test
15301,train
15302,test
15303,train
15304,train
15305,train
15306,train
15307,train
15308,train
15309,train
15310,train
15311,train
15312,test
15313,train
15314,train
15315,test
15316,train
15317,train
15318,test
15319,test
15320,train
15321,train
15322,train
15323,train
15324,train
15325,train
15326,train
15327,train
15328,test
15329,test
15330,train
15331,train
15332,test
15333,train
15334,test
15335,train
15336,train
15337,test
15338,train
15339,train
15340,train
15341,train
15342,test
15343,train
15344,train
15345,train
15346,train
15347,train
15348,test
15349,test
15350,train
15351,train
15352,train
15353,test
15354,train
15355,train
15356,train
15357,train
15358,train
15359,train
15360,train
15361,test
15362,train
15363,train
15364,test
15365,train
15366,train
15367,train
15368,train
15369,train
15370,test
15371,train
15372,test
15373,train
15374,train
15375,train
15376,test
15377,train
15378,train
15379,train
15380,test
15381,train
15382,train
15383,train
15384,test
15385,train
15386,train
15387,train
15388,train
15389,train
15390,test
15391,train
15392,train
15393,test
15394,test
15395,train
15396,train
15397,test
15398,train
15399,train
15400,train
15401,train
15402,train
15403,train
15404,test
15405,train
15406,train
15407,train
15408,train
15409,train
15410,train
15411,train
15412,test
15413,test
15414,train
15415,test
15416,train
15417,train
15418,train
15419,train
15420,test
15421,test
15422,train
15423,train
15424,train
15425,train
15426,train
15427,train
15428,train
15429,test
15430,train
15431,train
15432,test
15433,train
15434,train
15435,train
15436,test
15437,train
15438,train
15439,test
15440,train
15441,test
15442,train
15443,train
15444,train
15445,train
15446,test
15447,train
15448,test
15449,train
15450,train
15451,train
15452,train
15453,train
15454,train
15455,train
15456,test
15457,train
15458,train
15459,test
15460,train
15461,train
15462,train
15463,train
15464,train
15465,train
15466,train
15467,test
15468,train
15469,train
15470,train
15471,test
15472,train
15473,train
15474,train
15475,train
15476,train
15477,train
15478,train
15479,train
15480,train
15481,test
15482,train
15483,test
15484,test
15485,train
15486,train
15487,train
15488,train
15489,train
15490,train
15491,train
15492,train
15493,train
15494,train
15495,train
15496,train
15497,test
15498,train
15499,train
15500,train
15501,train
15502,train
15503,train
15504,test
15505,train
15506,train
15507,test
15508,train
15509,train
15510,train
15511,test
15512,test
15513,test
15514,train
15515,train
15516,train
15517,train
15518,test
15519,train
15520,train
15521,test
15522,test
15523,train
15524,train
15525,train
15526,train
15527,train
15528,train
15529,train
15530,train
15531,test
15532,train
15533,train
15534,train
15535,train
15536,train
15537,train
15538,train
15539,train
15540,train
15541,train
15542,train
15543,train
15544,train
15545,train
15546,train
15547,train
15548,train
15549,train
15550,train
15551,train
15552,train
15553,train
15554,train
15555,train
15556,train
15557,train
15558,train
15559,train
15560,train
15561,test
15562,train
15563,train
15564,train
15565,train
15566,train
15567,test
15568,test
15569,train
15570,train
15571,test
15572,train
15573,train
15574,train
15575,train
15576,test
15577,train
15578,test
15579,test
15580,train
15581,train
15582,train
15583,train
15584,train
15585,test
15586,train
15587,train
15588,train
15589,train
15590,test
15591,train
15592,train
15593,test
15594,train
15595,train
15596,train
15597,train
15598,train
15599,train
15600,train
15601,test
15602,test
15603,train
15604,train
15605,train
15606,train
15607,test
15608,train
15609,test
15610,test
15611,train
15612,test
15613,train
15614,train
15615,test
15616,train
15617,train
15618,train
15619,test
15620,train
15621,train
15622,train
15623,train
15624,train
15625,train
15626,train
15627,test
15628,train
15629,train
15630,test
15631,test
15632,train
15633,train
15634,train
15635,test
15636,train
15637,test
15638,train
15639,train
15640,train
15641,test
15642,train
15643,train
15644,train
15645,test
15646,train
15647,train
15648,train
15649,test
15650,train
15651,test
15652,train
15653,train
15654,test
15655,train
15656,train
15657,test
15658,train
15659,train
15660,train
15661,train
15662,test
15663,test
15664,train
15665,train
15666,train
15667,train
15668,test
15669,train
15670,train
15671,train
15672,train
15673,train
15674,train
15675,train
15676,train
15677,train
15678,train
15679,test
15680,train
15681,train
15682,train
15683,train
15684,train
15685,train
15686,train
15687,train
15688,test
15689,train
15690,train
15691,train
15692,train
15693,train
15694,train
15695,train
15696,train
15697,train
15698,test
15699,test
15700,test
15701,test
15702,train
15703,test
15704,train
15705,train
15706,train
15707,train
15708,train
15709,test
15710,test
15711,train
15712,test
15713,train
15714,test
15715,test
15716,train
15717,train
15718,test
15719,test
15720,train
15721,train
15722,train
15723,train
15724,train
15725,train
15726,train
15727,train
15728,train
15729,train
15730,train
15731,train
15732,test
15733,train
15734,train
15735,train
15736,train
15737,train
15738,train
15739,train
15740,train
15741,train
15742,train
15743,train
15744,train
15745,test
15746,train
15747,train
15748,train
15749,train
15750,train
15751,test
15752,train
15753,test
15754,train
15755,test
15756,train
15757,train
15758,train
15759,train
15760,train
15761,train
15762,train
15763,train
15764,train
15765,train
15766,train
15767,train
15768,test
15769,test
15770,train
15771,train
15772,train
15773,train
15774,train
15775,test
15776,train
15777,train
15778,train
15779,train
15780,train
15781,test
15782,train
15783,train
15784,train
15785,train
15786,train
15787,test
15788,test
15789,test
15790,train
15791,test
15792,train
15793,train
15794,train
15795,train
15796,train
15797,train
15798,train
15799,test
15800,test
15801,train
15802,train
15803,train
15804,train
15805,train
15806,train
15807,train
15808,train
15809,test
15810,train
15811,test
15812,train
15813,train
15814,test
15815,train
15816,train
15817,train
15818,train
15819,train
15820,train
15821,train
15822,train
15823,train
15824,train
15825,train
15826,train
15827,test
15828,train
15829,test
15830,train
15831,train
15832,train
15833,train
15834,train
15835,train
15836,train
15837,train
15838,train
15839,train
15840,train
15841,train
15842,train
15843,train
15844,train
15845,train
15846,train
15847,train
15848,train
15849,train
15850,train
15851,train
15852,train
15853,test
15854,train
15855,train
15856,test
15857,train
15858,train
15859,train
15860,test
15861,train
15862,train
15863,train
15864,test
15865,train
15866,train
15867,test
15868,train
15869,train
15870,train
15871,train
15872,train
15873,train
15874,train
15875,train
15876,train
15877,train
15878,train
15879,train
15880,train
15881,train
15882,train
15883,test
15884,train
15885,test
15886,train
15887,train
15888,train
15889,test
15890,test
15891,train
15892,train
15893,train
15894,train
15895,train
15896,train
15897,train
15898,train
15899,train
15900,train
15901,train
15902,train
15903,train
15904,train
15905,train
15906,test
15907,train
15908,test
15909,test
15910,train
15911,train
15912,train
15913,train
15914,train
15915,train
15916,train
15917,train
15918,train
15919,train
15920,train
15921,train
15922,train
15923,train
15924,train
15925,train
15926,train
15927,train
15928,test
15929,train
15930,train
15931,test
15932,train
15933,train
15934,train
15935,train
15936,train
15937,train
15938,test
15939,train
15940,train
15941,test
15942,train
15943,train
15944,train
15945,train
15946,train
15947,test
15948,train
15949,train
15950,train
15951,test
15952,train
15953,test
15954,test
15955,test
15956,test
15957,train
15958,train
15959,train
15960,test
15961,train
15962,train
15963,test
15964,train
15965,train
15966,train
15967,train
15968,train
15969,test
15970,test
15971,train
15972,train
15973,train
15974,train
15975,test
15976,train
15977,test
15978,train
15979,train
15980,train
15981,train
15982,train
15983,train
15984,train
15985,train
15986,train
15987,train
15988,test
15989,test
15990,train
15991,test
15992,test
15993,train
15994,test
15995,test
15996,train
15997,train
15998,train
15999,train
16000,train
16001,train
16002,train
16003,train
16004,train
16005,test
16006,train
16007,train
16008,train
16009,train
16010,train
16011,test
16012,train
16013,train
16014,train
16015,train
16016,train
16017,train
16018,train
16019,train
16020,train
16021,train
16022,train
16023,train
16024,train
16025,train
16026,train
16027,train
16028,train
16029,train
16030,test
16031,train
16032,train
16033,train
16034,test
16035,train
16036,test
16037,train
16038,train
16039,train
16040,train
16041,train
16042,train
16043,train
16044,test
16045,train
16046,train
16047,test
16048,test
16049,train
16050,train
16051,test
16052,train
16053,train
16054,train
16055,train
16056,train
16057,train
16058,train
16059,train
16060,train
16061,train
16062,train
16063,train
16064,train
16065,train
16066,train
16067,train
16068,train
16069,train
16070,train
16071,train
16072,train
16073,train
16074,train
16075,train
16076,train
16077,train
16078,train
16079,train
16080,train
16081,test
16082,train
16083,train
16084,train
16085,train
16086,test
16087,train
16088,train
16089,train
16090,train
16091,train
16092,train
16093,train
16094,train
16095,test
16096,test
16097,train
16098,train
16099,test
16100,train
16101,test
16102,train
16103,train
16104,train
16105,test
16106,train
16107,test
16108,train
16109,test
16110,train
16111,train
16112,train
16113,train
16114,train
16115,test
16116,train
16117,train
16118,test
16119,train
16120,train
16121,train
16122,train
16123,train
16124,train
16125,train
16126,train
16127,train
16128,test
16129,test
16130,train
16131,test
16132,train
16133,train
16134,test
16135,train
16136,train
16137,test
16138,train
16139,train
16140,test
16141,test
16142,train
16143,train
16144,train
16145,train
16146,train
16147,train
16148,train
16149,train
16150,test
16151,test
16152,train
16153,train
16154,train
16155,train
16156,train
16157,train
16158,train
16159,test
16160,train
16161,train
16162,train
16163,train
16164,train
16165,train
16166,train
16167,train
16168,test
16169,train
16170,train
16171,train
16172,test
16173,test
16174,test
16175,train
16176,train
16177,train
16178,test
16179,train
16180,train
16181,test
16182,test
16183,train
16184,test
16185,train
16186,train
16187,test
16188,train
16189,train
16190,train
16191,test
16192,train
16193,train
16194,train
16195,train
16196,train
16197,train
16198,train
16199,train
16200,train
16201,train
16202,train
16203,train
16204,train
16205,test
16206,train
16207,test
16208,train
16209,train
16210,train
16211,test
16212,train
16213,train
16214,train
16215,train
16216,train
16217,train
16218,train
16219,train
16220,train
16221,test
16222,train
16223,train
16224,test
16225,train
16226,test
16227,train
16228,train
16229,train
16230,train
16231,train
16232,train
16233,test
16234,train
16235,train
16236,train
16237,train
16238,train
16239,train
16240,train
16241,train
16242,train
16243,test
16244,train
16245,test
16246,train
16247,train
16248,train
16249,train
16250,train
16251,train
16252,train
16253,test
16254,test
16255,train
16256,test
16257,train
16258,train
16259,train
16260,train
16261,train
16262,train
16263,train
16264,train
16265,train
16266,train
16267,train
16268,train
16269,train
16270,train
16271,train
16272,train
16273,test
16274,train
16275,train
16276,train
16277,train
16278,train
16279,train
16280,test
16281,test
16282,train
16283,test
16284,train
16285,test
16286,train
16287,train
16288,train
16289,train
16290,train
16291,train
16292,test
16293,train
16294,test
16295,train
16296,train
16297,test
16298,train
16299,train
16300,train
16301,train
16302,train
16303,train
16304,train
16305,test
16306,train
16307,train
16308,train
16309,train
16310,train
16311,train
16312,train
16313,train
16314,train
16315,test
16316,train
16317,test
16318,train
16319,test
16320,train
16321,train
16322,train
16323,test
16324,train
16325,train
16326,train
16327,train
16328,train
16329,train
16330,train
16331,train
16332,train
16333,train
16334,train
16335,train
16336,test
16337,train
16338,train
16339,train
16340,train
16341,train
16342,test
16343,train
16344,test
16345,train
16346,train
16347,train
16348,train
16349,train
16350,test
16351,train
16352,train
16353,train
16354,train
16355,train
16356,train
16357,train
16358,test
16359,test
16360,train
16361,train
16362,train
16363,train
16364,train
16365,train
16366,train
16367,train
16368,train
16369,train
16370,test
16371,train
16372,test
16373,train
16374,train
16375,train
16376,train
16377,train
16378,train
16379,train
16380,test
16381,train
16382,test
16383,test
16384,train
16385,train
16386,train
16387,train
16388,test
16389,train
16390,train
16391,test
16392,train
16393,train
16394,train
16395,train
16396,train
16397,test
16398,train
16399,train
16400,train
16401,train
16402,train
16403,train
16404,train
16405,train
16406,test
16407,train
16408,train
16409,train
16410,train
16411,train
16412,train
16413,train
16414,test
16415,train
16416,train
16417,train
16418,train
16419,test
16420,train
16421,train
16422,test
16423,train
16424,train
16425,train
16426,train
16427,test
16428,train
16429,train
16430,train
16431,train
16432,train
16433,train
16434,train
16435,train
16436,test
16437,train
16438,train
16439,train
16440,train
16441,test
16442,train
16443,train
16444,test
16445,train
16446,test
16447,train
16448,train
16449,test
16450,train
16451,test
16452,test
16453,train
16454,train
16455,train
16456,test
16457,train
16458,train
16459,train
16460,train
16461,train
16462,test
16463,train
16464,train
16465,train
16466,train
16467,train
16468,train
16469,train
16470,train
16471,train
16472,train
16473,train
16474,train
16475,train
16476,test
16477,train
16478,train
16479,train
16480,train
16481,test
16482,train
16483,train
16484,train
16485,test
16486,test
16487,train
16488,train
16489,test
16490,train
16491,train
16492,train
16493,test
16494,train
16495,train
16496,train
16497,train
16498,train
16499,train
16500,train
16501,test
16502,train
16503,train
16504,test
16505,test
16506,train
16507,train
16508,train
16509,test
16510,train
16511,train
16512,train
16513,train
16514,test
16515,train
16516,train
16517,test
16518,test
16519,train
16520,train
16521,test
16522,train
16523,train
16524,train
16525,train
16526,train
16527,test
16528,train
16529,train
16530,train
16531,train
16532,train
16533,train
16534,train
16535,test
16536,train
16537,train
16538,train
16539,test
16540,train
16541,train
16542,test
16543,test
16544,test
16545,train
16546,test
16547,train
16548,train
16549,train
16550,train
16551,test
16552,train
16553,train
16554,train
16555,test
16556,train
16557,test
16558,train
16559,test
16560,train
16561,train
16562,test
16563,train
16564,train
16565,test
16566,train
16567,train
16568,train
16569,test
16570,train
16571,train
16572,train
16573,train
16574,train
16575,train
16576,train
16577,train
16578,train
16579,test
16580,train
16581,train
16582,train
16583,test
16584,train
16585,train
16586,test
16587,train
16588,train
16589,test
16590,train
16591,test
16592,train
16593,train
16594,train
16595,train
16596,train
16597,train
16598,train
16599,train
16600,train
16601,test
16602,train
16603,train
16604,test
16605,train
16606,train
16607,train
16608,test
16609,train
16610,train
16611,test
16612,train
16613,train
16614,train
16615,train
16616,train
16617,train
16618,test
16619,test
16620,train
16621,train
16622,train
16623,train
16624,train
16625,train
16626,train
16627,train
16628,train
16629,train
16630,test
16631,train
16632,train
16633,train
16634,train
16635,train
16636,train
16637,train
16638,train
16639,train
16640,train
16641,train
16642,test
16643,train
16644,train
16645,train
16646,train
16647,train
16648,train
16649,train
16650,train
16651,train
16652,train
16653,train
16654,test
16655,train
16656,train
16657,train
16658,test
16659,train
16660,test
16661,train
16662,test
16663,train
16664,test
16665,train
16666,train
16667,train
16668,train
16669,train
16670,test
16671,train
16672,test
16673,train
16674,test
16675,train
16676,test
16677,test
16678,train
16679,train
16680,train
16681,train
16682,test
16683,train
16684,test
16685,train
16686,train
16687,train
16688,train
16689,train
16690,train
16691,test
16692,train
16693,test
16694,train
16695,test
16696,train
16697,train
16698,train
16699,train
16700,train
16701,train
16702,train
16703,train
16704,train
16705,train
16706,train
16707,train
16708,train
16709,train
16710,train
16711,test
16712,train
16713,train
16714,train
16715,train
16716,train
16717,train
16718,train
16719,train
16720,train
16721,train
16722,train
16723,train
16724,train
16725,train
16726,train
16727,train
16728,train
16729,train
16730,train
16731,test
16732,train
16733,test
16734,test
16735,test
16736,train
16737,train
16738,train
16739,test
16740,train
16741,train
16742,test
16743,test
16744,train
16745,train
16746,train
16747,train
16748,test
16749,train
16750,train
16751,train
16752,train
16753,train
16754,train
16755,train
16756,train
16757,train
16758,train
16759,train
16760,test
16761,train
16762,train
16763,train
16764,test
16765,test
16766,train
16767,train
16768,train
16769,train
16770,train
16771,train
16772,train
16773,train
16774,train
16775,train
16776,train
16777,test
16778,train
16779,train
16780,test
16781,train
16782,test
16783,train
16784,train
16785,train
16786,train
16787,train
16788,train
16789,train
16790,test
16791,train
16792,test
16793,train
16794,train
16795,train
16796,train
16797,test
16798,train
16799,test
16800,train
16801,train
16802,train
16803,test
16804,train
16805,train
16806,train
16807,train
16808,train
16809,train
16810,train
16811,train
16812,train
16813,train
16814,test
16815,train
16816,test
16817,train
16818,train
16819,train
16820,train
16821,train
16822,train
16823,train
16824,test
16825,train
16826,train
16827,test
16828,train
16829,train
16830,train
16831,train
16832,train
16833,train
16834,train
16835,train
16836,test
16837,test
16838,train
16839,train
16840,test
16841,train
16842,test
16843,train
16844,train
16845,test
16846,train
16847,train
16848,train
16849,test
16850,train
16851,test
16852,train
16853,train
16854,train
16855,train
16856,train
16857,train
16858,test
16859,train
16860,train
16861,train
16862,train
16863,test
16864,train
16865,train
16866,train
16867,train
16868,train
16869,train
16870,test
16871,train
16872,test
16873,train
16874,test
16875,test
16876,train
16877,test
16878,train
16879,train
16880,train
16881,train
16882,train
16883,test
16884,train
16885,train
16886,train
16887,train
16888,train
16889,train
16890,train
16891,train
16892,train
16893,train
16894,train
16895,train
16896,train
16897,train
16898,train
16899,train
16900,train
16901,test
16902,train
16903,test
16904,train
16905,test
16906,train
16907,train
16908,train
16909,train
16910,train
16911,train
16912,train
16913,train
16914,train
16915,train
16916,train
16917,test
16918,train
16919,test
16920,train
16921,train
16922,train
16923,train
16924,train
16925,train
16926,train
16927,train
16928,train
16929,train
16930,test
16931,train
16932,train
16933,train
16934,train
16935,train
16936,train
16937,train
16938,train
16939,train
16940,train
16941,train
16942,test
16943,train
16944,train
16945,train
16946,train
16947,train
16948,train
16949,train
16950,train
16951,train
16952,train
16953,train
16954,test
16955,test
16956,train
16957,train
16958,test
16959,train
16960,train
16961,train
16962,train
16963,train
16964,train
16965,train
16966,train
16967,train
16968,train
16969,train
16970,train
16971,train
16972,train
16973,test
16974,train
16975,train
16976,train
16977,train
16978,test
16979,train
16980,train
16981,train
16982,train
16983,train
16984,test
16985,train
16986,train
16987,train
16988,train
16989,train
16990,train
16991,train
16992,train
16993,train
16994,train
16995,train
16996,train
16997,train
16998,train
16999,train
17000,test
17001,train
17002,test
17003,train
17004,train
17005,test
17006,train
17007,train
17008,train
17009,train
17010,train
17011,train
17012,test
17013,train
17014,test
17015,train
17016,train
17017,train
17018,train
17019,train
17020,train
17021,train
17022,test
17023,train
17024,test
17025,train
17026,test
17027,train
17028,train
17029,train
17030,train
17031,train
17032,train
17033,train
17034,train
17035,train
17036,train
17037,train
17038,train
17039,test
17040,train
17041,train
17042,train
17043,train
17044,train
17045,train
17046,train
17047,train
17048,test
17049,train
17050,train
17051,train
17052,train
17053,train
17054,train
17055,train
17056,test
17057,train
17058,train
17059,train
17060,train
17061,train
17062,train
17063,train
17064,train
17065,train
17066,train
17067,test
17068,train
17069,train
17070,train
17071,train
17072,train
17073,test
17074,train
17075,train
17076,train
17077,test
17078,train
17079,train
17080,train
17081,train
17082,train
17083,test
17084,train
17085,train
17086,train
17087,test
17088,test
17089,train
17090,train
17091,train
17092,train
17093,train
17094,test
17095,train
17096,test
17097,train
17098,train
17099,train
17100,test
17101,train
17102,train
17103,train
17104,test
17105,test
17106,train
17107,train
17108,train
17109,train
17110,train
17111,train
17112,test
17113,train
17114,test
17115,test
17116,train
17117,train
17118,train
17119,train
17120,train
17121,train
17122,train
17123,train
17124,train
17125,test
17126,train
17127,train
17128,train
17129,train
17130,train
17131,train
17132,train
17133,train
17134,train
17135,train
17136,test
17137,train
17138,train
17139,train
17140,test
17141,test
17142,train
17143,train
17144,test
17145,train
17146,train
17147,test
17148,train
17149,train
17150,train
17151,test
17152,train
17153,test
17154,train
17155,train
17156,train
17157,train
17158,test
17159,train
17160,train
17161,train
17162,train
17163,train
17164,train
17165,train
17166,train
17167,test
17168,test
17169,train
17170,test
17171,train
17172,train
17173,train
17174,train
17175,train
17176,train
17177,test
17178,train
17179,train
17180,train
17181,test
17182,train
17183,test
17184,test
17185,train
17186,train
17187,train
17188,train
17189,train
17190,train
17191,train
17192,train
17193,train
17194,train
17195,train
17196,test
17197,train
17198,test
17199,test
17200,train
17201,train
17202,train
17203,train
17204,train
17205,test
17206,train
17207,train
17208,train
17209,train
17210,train
17211,train
17212,train
17213,train
17214,train
17215,train
17216,train
17217,train
17218,train
17219,train
17220,train
17221,train
17222,train
17223,test
17224,train
17225,train
17226,train
17227,test
17228,train
17229,train
17230,train
17231,test
17232,test
17233,train
17234,train
17235,train
17236,train
17237,train
17238,train
17239,train
17240,train
17241,train
17242,test
17243,train
17244,train
17245,train
17246,train
17247,train
17248,test
17249,test
17250,test
17251,train
17252,train
17253,train
17254,test
17255,test
17256,test
17257,train
17258,test
17259,train
17260,train
17261,train
17262,train
17263,train
17264,train
17265,test
17266,train
17267,train
17268,test
17269,test
17270,train
17271,test
17272,train
17273,train
17274,train
17275,train
17276,train
17277,train
17278,test
17279,train
17280,train
17281,train
17282,train
17283,train
17284,train
17285,test
17286,train
17287,test
17288,train
17289,train
17290,train
17291,train
17292,train
17293,train
17294,train
17295,train
17296,train
17297,train
17298,train
17299,train
17300,train
17301,train
17302,train
17303,test
17304,test
17305,test
17306,test
17307,train
17308,train
17309,test
17310,test
17311,train
17312,train
17313,train
17314,train
17315,train
17316,train
17317,train
17318,train
17319,train
17320,train
17321,train
17322,train
17323,train
17324,train
17325,train
17326,train
17327,train
17328,train
17329,train
17330,train
17331,train
17332,train
17333,test
17334,train
17335,train
17336,train
17337,test
17338,test
17339,train
17340,train
17341,train
17342,train
17343,train
17344,train
17345,train
17346,train
17347,train
17348,train
17349,train
17350,train
17351,train
17352,test
17353,train
17354,train
17355,train
17356,train
17357,train
17358,train
17359,train
17360,train
17361,train
17362,train
17363,train
17364,train
17365,test
17366,train
17367,test
17368,train
17369,train
17370,train
17371,test
17372,train
17373,train
17374,train
17375,train
17376,train
17377,test
17378,test
17379,train
17380,train
17381,train
17382,train
17383,train
17384,train
17385,train
17386,train
17387,train
17388,train
17389,train
17390,train
17391,test
17392,train
17393,train
17394,test
17395,train
17396,test
17397,train
17398,train
17399,train
17400,train
17401,train
17402,train
17403,train
17404,train
17405,train
17406,train
17407,train
17408,test
17409,test
17410,train
17411,test
17412,train
17413,train
17414,train
17415,test
17416,train
17417,train
17418,train
17419,test
17420,test
17421,train
17422,train
17423,train
17424,train
17425,train
17426,train
17427,train
17428,test
17429,train
17430,train
17431,train
17432,train
17433,test
17434,test
17435,test
17436,train
17437,train
17438,train
17439,train
17440,train
17441,train
17442,test
17443,test
17444,train
17445,train
17446,train
17447,train
17448,train
17449,train
17450,train
17451,train
17452,train
17453,train
17454,test
17455,train
17456,train
17457,test
17458,train
17459,train
17460,train
17461,train
17462,train
17463,train
17464,test
17465,test
17466,test
17467,train
17468,train
17469,train
17470,train
17471,train
17472,train
17473,train
17474,test
17475,train
17476,train
17477,test
17478,train
17479,train
17480,train
17481,test
17482,train
17483,test
17484,train
17485,train
17486,train
17487,train
17488,train
17489,train
17490,train
17491,test
17492,train
17493,train
17494,test
17495,test
17496,train
17497,train
17498,train
17499,train
17500,train
17501,train
17502,test
17503,test
17504,train
17505,train
17506,train
17507,test
17508,train
17509,train
17510,train
17511,train
17512,train
17513,train
17514,train
17515,train
17516,train
17517,train
17518,train
17519,train
17520,train
17521,train
17522,train
17523,train
17524,train
17525,train
17526,train
17527,train
17528,test
17529,train
17530,test
17531,train
17532,train
17533,test
17534,train
17535,test
17536,train
17537,train
17538,train
17539,train
17540,train
17541,train
17542,train
17543,train
17544,train
17545,train
17546,train
17547,test
17548,train
17549,test
17550,train
17551,test
17552,train
17553,train
17554,train
17555,train
17556,test
17557,train
17558,test
17559,train
17560,train
17561,train
17562,train
17563,train
17564,train
17565,train
17566,test
17567,train
17568,test
17569,test
17570,test
17571,train
17572,test
17573,test
17574,train
17575,train
17576,train
17577,train
17578,test
17579,train
17580,train
17581,train
17582,test
17583,train
17584,train
17585,train
17586,test
17587,train
17588,train
17589,train
17590,train
17591,train
17592,train
17593,train
17594,train
17595,train
17596,test
17597,test
17598,train
17599,train
17600,train
17601,train
17602,test
17603,test
17604,train
17605,train
17606,test
17607,train
17608,train
17609,train
17610,train
17611,train
17612,train
17613,train
17614,train
17615,train
17616,train
17617,test
17618,test
17619,train
17620,train
17621,test
17622,train
17623,train
17624,test
17625,test
17626,train
17627,train
17628,train
17629,train
17630,train
17631,train
17632,train
17633,train
17634,train
17635,test
17636,train
17637,train
17638,train
17639,train
17640,train
17641,train
17642,train
17643,train
17644,test
17645,train
17646,train
17647,train
17648,train
17649,train
17650,train
17651,train
17652,train
17653,train
17654,train
17655,train
17656,train
17657,train
17658,train
17659,train
17660,train
17661,train
17662,test
17663,test
17664,train
17665,train
17666,train
17667,train
17668,train
17669,test
17670,train
17671,train
17672,train
17673,train
17674,test
17675,train
17676,train
17677,test
17678,test
17679,train
17680,train
17681,train
17682,train
17683,train
17684,train
17685,train
17686,train
17687,train
17688,train
17689,train
17690,train
17691,test
17692,train
17693,train
17694,test
17695,train
17696,train
17697,test
17698,train
17699,train
17700,train
17701,train
17702,train
17703,train
17704,test
17705,train
17706,train
17707,test
17708,train
17709,train
17710,train
17711,train
17712,train
17713,test
17714,train
17715,test
17716,train
17717,train
17718,test
17719,train
17720,train
17721,train
17722,train
17723,train
17724,train
17725,train
17726,train
17727,train
17728,train
17729,train
17730,train
17731,train
17732,train
17733,train
17734,train
17735,train
17736,train
17737,train
17738,train
17739,test
17740,train
17741,train
17742,train
17743,train
17744,train
17745,train
17746,train
17747,train
17748,train
17749,train
17750,test
17751,train
17752,test
17753,train
17754,train
17755,test
17756,train
17757,train
17758,train
17759,train
17760,train
17761,train
17762,train
17763,train
17764,train
17765,train
17766,train
17767,train
17768,train
17769,train
17770,train
17771,train
17772,test
17773,train
17774,train
17775,test
17776,train
17777,train
17778,train
17779,train
17780,train
17781,train
17782,test
17783,train
17784,test
17785,train
17786,train
17787,train
17788,train
17789,train
17790,test
17791,test
17792,train
17793,test
17794,train
17795,train
17796,train
17797,train
17798,train
17799,train
17800,train
17801,train
17802,train
17803,train
17804,train
17805,train
17806,test
17807,test
17808,train
17809,train
17810,test
17811,train
17812,train
17813,test
17814,train
17815,train
17816,train
17817,train
17818,test
17819,train
17820,train
17821,train
17822,train
17823,train
17824,train
17825,train
17826,test
17827,train
17828,test
17829,train
17830,train
17831,test
17832,test
17833,train
17834,train
17835,train
17836,train
17837,train
17838,train
17839,train
17840,test
17841,train
17842,train
17843,train
17844,train
17845,train
17846,train
17847,train
17848,train
17849,train
17850,test
17851,train
17852,test
17853,train
17854,train
17855,train
17856,train
17857,train
17858,train
17859,train
17860,train
17861,test
17862,train
17863,train
17864,train
17865,train
17866,train
17867,train
17868,train
17869,train
17870,test
17871,train
17872,train
17873,test
17874,test
17875,train
17876,train
17877,train
17878,test
17879,train
17880,test
17881,test
17882,train
17883,test
17884,test
17885,train
17886,train
17887,train
17888,train
17889,train
17890,test
17891,train
17892,train
17893,train
17894,train
17895,train
17896,train
17897,train
17898,train
17899,train
17900,train
17901,train
17902,train
17903,train
17904,train
17905,test
17906,train
17907,train
17908,test
17909,train
17910,train
17911,test
17912,train
17913,train
17914,train
17915,train
17916,train
17917,train
17918,train
17919,test
17920,test
17921,train
17922,train
17923,train
17924,train
17925,train
17926,train
17927,train
17928,test
17929,train
17930,train
17931,train
17932,train
17933,train
17934,train
17935,test
17936,train
17937,train
17938,test
17939,train
17940,train
17941,train
17942,train
17943,train
17944,train
17945,train
17946,train
17947,train
17948,train
17949,test
17950,train
17951,train
17952,train
17953,train
17954,train
17955,train
17956,train
17957,train
17958,train
17959,train
17960,train
17961,train
17962,train
17963,train
17964,train
17965,train
17966,train
17967,test
17968,test
17969,train
17970,train
17971,train
17972,test
17973,train
